City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,274.6,64,96,10.18,TF,1727664479
1,tazovsky,67.4667,78.7,280.01,92,100,5.86,RU,1727664480
2,sitka,57.0531,-135.33,285.09,71,75,0.0,US,1727664483
3,igarka,67.4667,86.5833,280.65,95,100,2.08,RU,1727664484
4,makurazaki,31.2667,130.3167,302.83,56,1,3.54,JP,1727664485
5,port mathurin,-19.6833,63.4167,295.66,79,42,6.87,MU,1727664486
6,papatowai,-46.5619,169.4708,286.76,61,3,3.16,NZ,1727664487
7,new norfolk,-42.7826,147.0587,291.32,51,85,4.62,AU,1727664488
8,bardai,11.65,7.2333,295.24,82,7,1.76,NG,1727664490
9,tralee,52.2704,-9.7026,284.65,94,100,3.47,IE,1727664491
10,adamstown,-25.066,-130.1015,292.28,60,13,3.66,PN,1727664493
11,minas de marcona,-15.2119,-75.1103,285.08,87,91,3.9,PE,1727664495
12,thompson,55.7435,-97.8558,288.24,63,40,3.09,CA,1727664496
13,la maddalena,41.2142,9.4083,290.89,73,3,6.34,IT,1727664497
14,olonkinbyen,70.9221,-8.7187,271.78,64,100,4.19,SJ,1727664498
15,lorengau,-2.0226,147.2712,301.49,80,88,2.44,PG,1727664499
16,aasiaat,68.7098,-52.8699,275.98,97,100,9.72,GL,1727664501
17,tieling,42.2931,123.8414,281.83,84,100,3.27,CN,1727664432
18,kondoa,-4.9,35.7833,288.27,93,100,1.92,TZ,1727664503
19,taltal,-25.4,-70.4833,287.14,84,54,2.08,CL,1727664504
20,bethel,41.3712,-73.414,288.73,89,99,0.38,US,1727664506
21,mali,12.079,-12.2982,289.1,90,100,1.17,GN,1727664508
22,qaqortoq,60.7167,-46.0333,277.64,89,59,2.9,GL,1727664509
23,nehe,48.4833,124.8333,283.0,43,57,6.64,CN,1727664510
24,talnakh,69.4865,88.3972,279.04,98,100,2.49,RU,1727664511
25,antalaha,-14.9003,50.2788,295.55,90,92,1.88,MG,1727664513
26,jamestown,42.097,-79.2353,292.05,93,100,0.89,US,1727664514
27,alo,6.5486,4.2686,297.19,92,54,1.76,NG,1727664515
28,grytviken,-54.2811,-36.5092,269.94,68,6,3.0,GS,1727664516
29,tolanaro,-25.0319,46.9987,295.19,88,0,2.06,MG,1727664517
30,oban,56.4127,-5.4706,282.56,75,51,3.11,GB,1727664519
31,crane,31.3974,-102.3501,297.63,28,0,4.08,US,1727664520
32,palmer,42.1584,-72.3287,286.43,87,0,1.54,US,1727664522
33,edinburgh of the seven seas,-37.0676,-12.3116,287.43,87,63,10.6,SH,1727664523
34,badger,64.8,-147.5333,285.1,52,0,0.0,US,1727664524
35,olovyannaya,50.95,115.5667,280.8,35,56,7.64,RU,1727664526
36,kristiansund,63.1115,7.732,282.11,65,75,2.57,NO,1727664527
37,kanoya,31.3833,130.85,301.34,65,61,2.08,JP,1727664529
38,bredasdorp,-34.5322,20.0403,282.18,77,32,8.6,ZA,1727664530
39,sogndal,61.2283,7.1003,279.36,81,100,3.6,NO,1727664531
40,longyearbyen,78.2186,15.6401,273.06,86,40,4.12,SJ,1727664533
41,punta arenas,-53.15,-70.9167,273.21,59,0,4.63,CL,1727664535
42,daru,-9.0763,143.2092,301.09,62,6,6.61,PG,1727664536
43,kouvola,60.8667,26.7,275.33,97,0,1.54,FI,1727664537
44,saipan,15.1355,145.701,305.54,66,40,6.17,MP,1727664539
45,ilulissat,69.2167,-51.1,277.16,93,100,5.14,GL,1727664540
46,waitangi,-43.9535,-176.5597,283.61,68,71,3.13,NZ,1727664542
47,tanumah,27.1,44.1333,297.42,19,0,3.57,SA,1727664543
48,hithadhoo,-0.6,73.0833,301.66,76,67,4.94,MV,1727664545
49,utrik,11.2278,169.8474,301.51,77,34,3.22,MH,1727664547
50,lunino,53.5918,45.2271,285.15,46,100,3.51,RU,1727664548
51,polyarnyy,69.1989,33.4478,275.45,87,85,8.49,RU,1727664549
52,coahuayana de hidalgo,18.7,-103.6583,298.3,92,98,1.02,MX,1727664550
53,bilibino,68.0546,166.4372,272.69,84,100,1.41,RU,1727664551
54,margaret river,-33.95,115.0667,290.39,62,48,3.51,AU,1727664553
55,terbanggi besar,-4.8667,105.2333,305.31,51,100,3.59,ID,1727664350
56,isabela,6.7085,121.9711,304.18,59,100,2.31,PH,1727664555
57,prymors'k,46.7348,36.3443,289.78,65,95,7.91,UA,1727664556
58,puerto ayora,-0.7393,-90.3518,293.46,95,99,2.24,EC,1727664557
59,port alfred,-33.5906,26.891,282.14,76,2,2.24,ZA,1727664559
60,invercargill,-46.4,168.35,287.68,47,4,2.44,NZ,1727664560
61,nemuro,43.3236,145.575,289.42,88,100,6.17,JP,1727664414
62,nar'yan-mar,67.6713,53.087,276.66,91,56,8.77,RU,1727664562
63,morant bay,17.8815,-76.4093,300.12,88,100,2.17,JM,1727664563
64,albany,42.6001,-73.9662,288.38,75,60,0.84,US,1727664340
65,tovuz,40.9922,45.6289,284.0,48,0,2.1,AZ,1727664566
66,san patricio,28.017,-97.5169,297.12,59,0,3.32,US,1727664567
67,callao,-12.0667,-77.15,291.33,82,100,5.66,PE,1727664305
68,fort stockton,30.894,-102.8793,299.18,24,0,1.54,US,1727664569
69,ambanja,-13.6833,48.45,295.43,76,2,1.49,MG,1727664570
70,la ronge,55.1001,-105.2842,283.29,76,100,5.66,CA,1727664573
71,portage,41.1667,-81.1998,292.03,84,100,3.6,US,1727664574
72,blackmans bay,-43.0167,147.3167,290.66,50,41,3.64,AU,1727664575
73,kimbe,-5.5502,150.1429,302.28,74,98,2.83,PG,1727664577
74,iqaluit,63.7506,-68.5145,278.0,75,75,4.12,CA,1727664523
75,vorgashor,67.5833,63.95,278.43,95,97,7.06,RU,1727664579
76,puerto natales,-51.7236,-72.4875,270.36,85,16,2.03,CL,1727664365
77,barclayville,4.6797,-8.2339,297.12,89,96,1.77,LR,1727664581
